Time,rdy,bsy,rd,wr,ka,log,dns,cls
Jan:08:2014:19:13:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:13:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:14:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:14:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:15:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:15:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:16:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:16:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:17:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:17:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:18:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:18:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:19:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:19:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:20:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:20:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:21:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:21:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:22:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:22:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:23:27,69,9,0,9,0,0,0,0
Jan:08:2014:19:23:57,47,56,0,36,20,0,0,0
Jan:08:2014:19:24:27,53,50,0,7,43,0,0,0
Jan:08:2014:19:24:57,27,101,0,99,2,0,0,0
Jan:08:2014:19:25:27,33,220,0,215,5,0,0,0
Jan:08:2014:19:25:57,36,149,0,139,10,0,0,0
Jan:08:2014:19:26:27,40,139,0,134,5,0,0,0
Jan:08:2014:19:26:57,37,141,0,97,44,0,0,0
Jan:08:2014:19:27:27,51,127,0,26,96,0,0,5
Jan:08:2014:19:27:57,61,67,2,6,57,0,0,2
Jan:08:2014:19:28:27,69,59,0,5,51,0,0,3
Jan:08:2014:19:28:57,49,29,0,4,24,0,0,1
Jan:08:2014:19:29:27,47,31,0,4,27,0,0,0
Jan:08:2014:19:29:57,45,33,0,5,28,0,0,0
Jan:08:2014:19:30:27,50,28,0,6,22,0,0,0
Jan:08:2014:19:30:57,52,26,0,8,18,0,0,0
Jan:08:2014:19:31:27,60,18,0,5,13,0,0,0
Jan:08:2014:19:31:57,66,12,0,3,9,0,0,0
Jan:08:2014:19:32:27,67,11,0,4,7,0,0,0
Jan:08:2014:19:32:57,69,9,0,3,6,0,0,0
Jan:08:2014:19:33:27,68,10,0,4,6,0,0,0
Jan:08:2014:19:33:57,68,10,0,5,5,0,0,0
Jan:08:2014:19:34:27,66,12,0,6,6,0,0,0
Jan:08:2014:19:34:57,68,10,0,3,7,0,0,0
Jan:08:2014:19:35:27,67,11,0,6,5,0,0,0
Jan:08:2014:19:35:57,70,8,0,5,3,0,0,0
Jan:08:2014:19:36:27,67,11,0,4,7,0,0,0
Jan:08:2014:19:36:57,69,9,0,3,6,0,0,0
Jan:08:2014:19:37:27,70,8,0,3,5,0,0,0
Jan:08:2014:19:37:57,64,14,0,3,11,0,0,0
Jan:08:2014:19:38:27,68,10,0,4,6,0,0,0
